index,업소명,업종,총평점,id
0,도쿄등심 선릉점,소고기구이,4.51,1.0
1,문어랑 상록점,해물요리,4.61,36523164.0
2,농민백암순대 본점,"국,탕",4.49,13149768.0
3,스시소라 대치점,일식,4.63,32737607.0
4,파이어벨(FIREBELL),햄버거,4.45,35150126.0
5,오리지널팬케이크하우스(OPH) 센터필드점,카페,4.71,1852695287.0
6,커리146 강남점,해외음식,4.7,1623853188.0
7,코르바니,양식,4.68,1918194979.0
8,뽕나무쟁이 선릉본점,기타,4.4,13468956.0
9,명품유쾌 강남본점,한식,4.99,1373609737.0
10,경천애인2237,소고기구이,4.38,32389127.0
11,외고집설렁탕,한식,4.31,12048308.0
12,수라선 역삼점,해물요리,4.38,
13,빅조이케이크,디저트,4.91,1162590202.0
14,도쿄등심 선릉점,소고기구이,4.51,1.0
15,미랑,양고기구이,4.85,386982725.0
16,스시산원,일식,4.56,34006938.0
17,피양콩할마니,한식,4.19,12017005.0
18,꽃새우 영번지 역삼점,해물요리,4.16,13792.0
19,비건비거닝,디저트,4.41,1975678801.0
20,테라로사 포스코센터점,카페,4.48,1542149931.0
21,세드라,디저트,4.56,1987286092.0
22,별양집,곱창,4.48,19872940.0
23,미랑,양고기구이,4.85,386982725.0
24,반룡산,기타,4.32,12053368.0
25,더오일오브쿠엔즈버킷 센터필드점,샐러드,,1474798709.0
26,하동관 강남분점,"국,탕",4.26,12002711.0
27,진대감 선릉점,소고기구이,4.56,34590424.0
28,별양집,곱창,4.48,19872940.0
29,샤오바오우육면,중식,4.25,1749145839.0
30,비언유주얼,양식,4.67,1789186517.0
31,장정정,일식,4.54,1647747553.0
32,로그,카페,4.78,1487286336.0
33,스시키,일식,4.63,38576093.0
34,류마,한식,4.84,1389959561.0
35,마라테이블,중식,4.58,1351507296.0
36,칠랑고,해외음식,4.55,14.0
37,신동궁감자탕 선릉직영점,"국,탕",4.41,18468954.0
38,오레노카츠 선릉점,일식,4.44,
39,차호랑,기타,4.31,1093374389.0
40,마담밍,중식,4.44,11707122.0
41,블랙랩,양식,4.72,349045.0
42,싸리골빈대떡 본점,기타,4.46,38275829.0
43,일미리금계찜닭 선릉점,한식,4.37,36520116.0
44,코벤트가든 선릉점,이탈리아음식,4.42,1848856.0
45,바스버거 선릉점,햄버거,4.48,1797866713.0
46,자르뎅페르뒤,이탈리아음식,4.67,13150041.0
47,진풍정 강남점,한식,4.07,11834756.0
48,지구당 선릉역점,일식,4.36,1828080551.0
49,단초식당 선릉점,한식,4.5,1990657993.0
50,연타발 선릉점,곱창,4.45,35927543.0
51,미쓰양꼬치,양고기구이,4.47,34550276.0
52,신도세기,돼지고기구이,4.25,1531802669.0
53,카페인더무드 대치점,브런치,4.4,1340882296.0
54,청자골,소고기구이,4.57,13151370.0
55,수다 대치점,일식,4.62,1266872356.0
56,문어랑 상록점,해물요리,4.61,36523164.0
57,김태주 선산곱창 강남점,곱창,4.47,1267417958.0
58,파이어벨 디어고메,햄버거,4.5,1619997362.0
59,해우리 선릉 L7점,한식,4.28,1208870591.0
60,뚝심한우 선릉역점,소고기구이,4.43,329109717.0
61,카토멘,일식,4.44,31986060.0
62,오징어풍경,한식,4.34,38407687.0
63,루프탑2018,바(BAR),4.18,1595490103.0
64,오미마리,분식,4.9,1341330670.0
65,빌리앤오티스,베이커리,4.56,1160097068.0
66,카페 시그니처,디저트,4.39,1779291967.0
67,조개천국,해물요리,4.59,1036609613.0
68,몰타참치,횟집,4.34,11842699.0
69,스시마이우 선릉역점,일식,4.21,16.0
70,쌍룡갈비,고기요리,4.45,1026392942.0
71,우밀면옥,기타,4.28,1511977717.0
72,수미돈,고기요리,,1009371925.0
73,하남돼지집 선릉1호점,돼지고기구이,4.4,36444497.0
74,대도식당 삼성점,소고기구이,4.24,18448423.0
75,알로이타이,해외음식,4.47,36648833.0
76,라피자노스트라 선릉본점,이탈리아음식,4.39,33618243.0
77,로브니,디저트,4.59,1223219489.0
78,몽중헌 대치점,중식,4.43,1894081090.0
79,김돈이 본점,돼지고기구이,4.48,19578744.0
80,청국장서갈비,한식,4.33,31887308.0
81,센도수산,일식,4.65,1637529.0
82,제주은희네해장국 선릉직영점,"국,탕",4.31,1173.0
83,동보성 강남점,중식,4.54,1536716586.0
84,모범떡볶이1976 선릉점,분식,4.38,1137251113.0
85,훅트포케 선릉점,기타,4.41,1887038600.0
86,오동도,횟집,4.48,13528827.0
87,하루,일식,4.46,13449791.0
88,명랑회관 선릉점,돼지고기구이,4.72,37408131.0
89,원조광양불고기 삼성점,고기요리,4.31,13150513.0
90,레이어스튜디오,베이커리,4.37,1683782400.0
91,별미곳간,분식,4.47,1798271479.0
92,안남,베트남음식,4.46,30488654.0
93,창고43 역삼점,소고기구이,4.51,38338586.0
94,쏭타이 역삼점,해외음식,4.55,1286616903.0
95,브루커피 테헤란점,디저트,4.85,1117038107.0
96,맛있는제주,한식,4.22,38667405.0
97,멜로워 역삼 더 퍼스트,카페,4.43,1275470400.0
98,하얼빈가정식 본점,중식,4.11,1375393271.0
99,참치공간,일식,4.75,1535103337.0
100,샹베리,양식,4.93,37917926.0
101,전봇대,기타,4.58,
102,잭슨피자 대치점,이탈리아음식,4.56,1810341907.0
103,대치동 밥술,기타,4.52,1072617679.0
104,참치공방 선릉점,횟집,4.42,1351749376.0
105,스윗밸런스,샐러드,4.55,1307433555.0
106,고운님,한식,4.34,19792920.0
107,어로장,한식,4.56,1709911487.0
108,고메갈비 선릉본점,고기요리,4.61,37072873.0
109,마초야,일식,4.46,37436116.0
110,조개사냥 역삼점,해물요리,4.7,13392779.0
111,아야커피,카페,4.51,1591951858.0
112,js가든 센터필드점,중식,,1804495242.0
113,멘야미코 청담역점,일식,4.29,
114,일마지오 삼성점,이탈리아음식,4.38,34907582.0
115,두레국수,분식,4.28,18394397.0
116,초록밭,샐러드,4.97,1629970353.0
117,히라이,중식,4.43,13052928.0
118,개그맨 정용국의 용곱창 강남본점,곱창,4.43,1228567637.0
119,델라마노 시가바,바(BAR),4.21,35524029.0
120,버닝스톤,양식,4.51,1283139466.0
121,수타우동 겐,일식,4.37,1159445629.0
122,이자카야 나무,일식,4.48,33078149.0
123,우리집만두 선릉본점,분식,4.32,18576718.0
124,잇쇼우,일식,4.37,106592706.0
125,대치정육식당,소고기구이,4.58,11847175.0
126,미트앤번버거샵 강남점,햄버거,4.54,128.0
127,평가옥 삼성점,기타,4.17,12943462.0
128,청춘어람,횟집,4.63,1558231272.0
129,60년전통신촌황소곱창 선릉직영점,곱창,4.16,35337611.0
130,인평일등추어탕 선릉역점,한식,4.22,37197898.0
131,도스타코스 선릉점,해외음식,4.34,1905428903.0
132,이승재참치,일식,4.68,1639596346.0
133,용호동낙지 강남직영점,한식,4.21,1874679673.0
134,스시노스시,일식,4.25,
135,강정희간장새우 선릉역점,해물요리,4.51,34016419.0
136,Cakery루킹래징,디저트,4.49,33077537.0
137,사람사는 고깃집 김일도 선릉점,고기요리,4.64,1637475096.0
138,통영집,횟집,4.26,19378213.0
139,오마이보울,샐러드,4.45,1543931267.0
140,참치그라,횟집,4.68,11641511.0
141,핵밥 역삼점,한식,4.43,1080315503.0
142,플로팅,뷔페,4.63,1002390145.0
143,우밀가 선릉점,분식,4.27,
144,블루문 탭하우스,바(BAR),4.58,1014355254.0
145,지유가오카핫초메 선릉점,디저트,4.6,34615854.0
146,수림복국,기타,4.34,18460067.0
147,고메홈,한식,4.09,10994374.0
148,재패니즈다이닝안심,일식,4.59,37378986.0
149,피슈마라홍탕 선릉점,중식,4.34,1601393324.0
150,카페 난만,디저트,4.28,1177877551.0
151,연,일식,4.69,1570789614.0
152,사와레,바(BAR),4.78,1098218068.0
153,신라스테이역삼 카페,뷔페,4.42,37402198.0
154,더 피자스탠드,이탈리아음식,4.68,1911951171.0
155,볼빨간 딱새우 선릉점,일식,4.71,1577187705.0
