index|name|platform|date|rating|comment
0|하남돼지집 선릉역삼점|siksin||5.0|너무 맛있어서 사진 볼 때마다 또 가고 싶은 하남돼지집... 직원분이 고기 다 먹기 좋게 잘라주고 일일이 구워주는게 좋아서 자주 가는 곳이에요. 체인점이라 지역마다 많기도 하고 삼겹살 하면 하남돼지집이 먼저 생각나요ㅎㅎ 회식하거나 친구들하고 고기 먹을때 가기 좋은 삼겹살집입니당~!!  조만간 또 가야지
1|하남돼지집 선릉역삼점|siksin||3.0|고기가 굉장히 질이 좋은 것 같더군요 
2|하남돼지집 선릉역삼점|siksin||3.0|역시 고기는 하남돼지집이죠 bb
3|하남돼지집 선릉역삼점|siksin||3.0|꿀맛이었습니다. 모듬한판 시키니 양도 어마어마해요 ㅋㅋ
4|레트로오븐|siksin||5.0|Dddㅇㅇ
5|레트로오븐|siksin||3.5|달거나 짜거나 이런 빵보다는 담백하고 고소한 빵을 좋아하는 편인데, 이 곳이 딱 그 스타일입니다. 빵을 먹은 후에도 속이 편안하고 부담스럽지 않아서 즐겨 찾는 곳. ^^
6|레트로오븐|siksin||3.0|"외국에서 먹는 빵같이
뭔가 달라요 ㅎㅎㅎ"
7|레트로오븐|siksin||5.0|식사빵 전문점답게 담백하고 깔끔한 빵들이 주를 이루고있어요 종류가 많은편은아니예여 :-)
8|레트로오븐|siksin||3.0|"조금했던 매장이 어느새
커져있어요 ㅎㅎ 그만큼
사람들이 인정해준 맛집인듯"
9|레트로오븐|siksin||5.0|담백하고 맛잇는 빵을 원하신다면 주저없이 추천~!!!!!
10|레트로오븐|siksin||3.0|매장 한켠에 따뜻한 루이보스차가 준비되어있어요 사장님 친절하세요 *_*
11|레트로오븐|siksin||5.0|"흔히먹는 그런 빵이아닌
건강을 주는 빵같아요!
하나하나 정성이느껴짐!"
12|레트로오븐|siksin||3.0|우리 가족도 인정하는 빵덕후인 나 ㅋㅋㅋ 회사가 하필 여기 근처라서ㅜㅜㅜㅜ 돈 무지많이 쓰고있음ㅎㅎㅎ엄마가 빵 그만좀 사오라며…ㅎㅎ
13|레트로오븐|siksin||5.0|초코크로와상 먹을때 초코때문 손이 엉망이되지만 저엉말 맛있어요 두툼한 초콜릿심이 꽉꽉 =v=
14|레트로오븐|siksin||5.0|"오래된 단골인데 ㅋㅋㅋ점점
확장되는거 보니 기분좋습니다 ㅎㅎ
빵맛이 다른곳과 비교가 안됨"
15|레트로오븐|siksin||3.0|이런 담백한 빵을 질좋은 올리브유에 푹 적셔먹으면 진짜.. 행복해져요 헷…
16|레트로오븐|siksin||4.0|식빵을 반만도 팔고 컷팅도해줘서 편하고 좋네요 ㅋ
17|레트로오븐|siksin||4.0|버터나, 딸기잼 등 을 파는데 가격대가 비쌉니다. 무염버터는 맛있어서 추천
18|레트로오븐|siksin||5.0|레트로 오븐을 찾는 사람들은 대부분 예약한 빵을 찾으러 오는 단골손님이에요~ 이런 빵집 흔치 않지요
19|레트로오븐|siksin||3.0|"정말 촉촉하고 맛있습니다!
이것저것 막 넣은 빵보다
훨씬 깔끔하니 좋네요"
20|레트로오븐|siksin||4.0|요긴 실한 쇼케이스의 모습보는게 오픈시간아님 정말힘들어요 &gt;_&lt; 일부러 오픈시간맞춰서가요
21|레트로오븐|siksin||4.0|"깔끔하니 부모님들도 좋아하세요~
밀가루가 다른가? 먹으면 먹을수록
얼마나 고소하던지 "
22|레트로오븐|siksin||5.0|크로와상은 자칫 느끼할수잇는데 가벼운식감이 인상적이예요 ^ㅡ^
23|레트로오븐|siksin||5.0|"빵포장해서 자주먹어요~
매장에서 먹는게 더맛있긴
해요 ㅎㅎㅎ"
24|레트로오븐|siksin||5.0|빵봉지에 빵나오는 시간표와 예약안내메모지를 넣어주니 예약하고 원하시는빵드세요오~~
25|레트로오븐|siksin||4.0|차원이다른 크로와상 겉은바싹하고 속은 촉촉 ㅋㅋㅋㅋ 위에소금이 너무 맛나네요
26|레트로오븐|siksin||4.0|"빵 하나하나 정말 맛이 살아
있습니다 ~무얼 먹어도 
속이 부대끼지않아요!"
27|레트로오븐|siksin||3.0|빵을 사기위해 시간대별로 예약까지 걸고 오는 손님들이 허다해요 ㅎㅎ
28|레트로오븐|siksin||3.0|"선정릉역과 가까워서 
지나갈 일이있으면 꼭 들려요~
빵  가짓수도 정해놓고 판매하셔서
인지, 하나하나 정성들인 맛이예요"
29|레트로오븐|siksin||3.0|아침빵이라고 불릴만큼 소화도 잘되고 워낙 첨가물이 없어 아이들이 먹기에도 참 좋아요 ^^
30|레트로오븐|siksin||4.0|"매장에서 먹고 반해서
포장해가지고 회사사람들과
나누어먹었어요 ㅎㅎ"
31|레트로오븐|siksin||3.0|"동네에 있었을때 부터 단골
이었는데, 좀 멀어졌네요 …
그래도 찾아가서 사오게 됩니다"
32|레트로오븐|siksin||4.0|"아이에게 믿고 먹일수 있는 맛집
집에서 커피랑 먹을때면 제일 행복한
시간을 보내게 되네요 ~"
33|레트로오븐|siksin||4.0|식사빵 전문점 레트로오븐♥ 이름도 예뽀용ㅋㅋ 선정릉역에서 조금 더 가까워요! 빵 다 없어질까봐 토요일에 오픈하자마자 달려달려갔다왔어용히히
34|레트로오븐|siksin||3.0|"점심에 밥대신 먹고싶은게 있
을떄, 이곳에 와서 한끼 채웁니다 ㅎㅎ 속편하게 잘먹어요~"
35|레트로오븐|siksin||5.0|"프렌차이즈 빵보다 깔끔하고
건강함이 더 느껴지는 그런
맛집"
36|레트로오븐|siksin||3.0|역시 빵은 나온날, 특히 크로와상은 그날먹어야하네요 다음날 먹었더니 눅눅해져서 맛이별로였어요
37|레트로오븐|siksin||5.0|"가격대가 있어도, 다른 빵집과
다른 무언가 때문에 홀린듯이
계속 여기만 찾게되네요 ㅎㅎ"
38|레트로오븐|siksin||3.0|그날그날 소량만 제작해서 파는 가게라 좀늦게가면 원하는빵이아니라 빵이없을수가있어용!!!!
39|레트로오븐|siksin||4.0|고소한 빵에 달콤한 잼을 발라먹으면 입안에서 행복이넘실넘실&gt;.&lt;!!!! 빵순이에게 레트로오븐은 그냥지나갈 수 없는 곳이당..참새가 방앗간을 그냥 못지나가쥐!~!
40|레트로오븐|siksin||4.0|가격은 3000원에서 1만원대까지 다양하고 종류도 많아요. 대부분 담백한 빵들이에요
41|레트로오븐|siksin||5.0|크로와상 한겹한겹 떼먹는재미 ㅋ ㅋㅋ ㅋ ㅋㅋ..입에서 살살녹아여 프랑스가고싶게만드는맛..
42|레트로오븐|siksin||5.0|여기 크로와상 한번 먹어보면 다른 일반 빵집 빵은 밋밋할거에여ㅋㅋㅋㅋ 고소한 향이 아주 일품임
43|레트로오븐|siksin||5.0|저는 여기 빵좋아서 동네도 아닌데 일부러 찾아가서 먹어요 진짜 최고에여 너무맛있어요~~~
44|레트로오븐|siksin||3.0|오후 1시부터 7시까지 영업하는데 쇼케이스에 빵이 가득 차있는 모습은 오픈할때 아니면 보기 힘든집이당
45|레트로오븐|siksin||5.0|매주 화요일에만 누릴 수 있는 초콜릿 크로와상^ㅁ^ 이거이거 전략인가요?? 왜 화요일에만 나오는걸까요ㅠㅠㅋㅋ 
46|레트로오븐|siksin||5.0|종류가 다양하긴한데, 매일매일 모든 종류가 나오는 것은 아니고 주문들어오는 것에 따라 다르다고 하네염~~! 미리미리 주문해서 Get!!
47|레트로오븐|siksin||4.0|독특하게 빵 모형이 벽에 진열되어있음ㅎㅎㅎㅎ 고르기편함!! 근데 빵이없음 ㅜ0ㅜ으앙!!!!
48|레트로오븐|siksin||5.0|방문 하루나 이틀 전에 예약하시면 빵을 기다리지 않고 바로 받을 수 있어용ㅋㅋ 이런거조아조아!! 고객맞춤알럽
49|레트로오븐|siksin||5.0|일요일 월요일 휴무 ㅜㅜ
50|레트로오븐|siksin||4.0|빵 전문점 레트로오븐♥ 예약주문까지 할 정도로 유명해요~! 쫌만 늦어두 금방 매진세례..
51|레트로오븐|siksin||5.0|식전빵. 오후1시오픈. 예약.. 이 세개만 알면 끄읏
52|레트로오븐|siksin||5.0|강남구청역 인근 유명한 빵집! 이곳의 빵 맛을 한번 보아야 해요!
53|레트로오븐|siksin||4.0|레트로오븐서 사온빵 우걱우걱 정말인기빵집답당ㅋ
54|레트로오븐|siksin||4.0|"예약해야 편하게 먹을 수 있는 빵집 ㅋ
예약 안해도 먹을 순 있는데 많이 기다리거나 원하는 빵을 못 살 수도 있어요~
무튼 빵 증말 맛있음!!!!"
55|레트로오븐|siksin||3.0|레트로식빵  맛있음
56|레트로오븐|siksin||4.0|그럭저럭 마음에 듭니다.
57|레트로오븐|siksin||3.0|좋은 맛이었던 것 같네요
58|레트로오븐|siksin||4.0|루이보스 차 시음, 딸기잼이나 올리브오일/발사믹비네거와 함께 빵 시식도 가능!
59|레트로오븐|siksin||3.0|좋은 맛이었던 것 같아요
60|레트로오븐|siksin||4.0|그냥 갈만한 편입니다.
61|레트로오븐|siksin||3.0|1년에 한 번씩 생각나는 그런 맛이오~
62|레트로오븐|siksin||3.0|맛있었었던 거 같구요
63|레트로오븐|siksin||4.0|멀리서 와서 먹을정도까진 아닌데 동네주민인 저는 종종 갈듯!
64|레트로오븐|siksin||3.5|빵맛나고시식빵도엄청주고꼭가볼만한곳
65|레트로오븐|siksin||4.0|12:30-19:00, 일, 월, 공휴일 휴무 544-9045, 논현동 254-22
66|매일낙지|siksin||3.0|매콤한낙지볶음맛집이죠 ㅎ 기본적으로 밥이나오니 점심시간대면 부랴부랴달려가야할정도로 인기가많은맛집이에요 ㅎㅎㅎ
67|매일낙지|siksin||3.5|20년넘게 삼성동에서 낙지맛집으로 알려진곳~! 가격은 착하진않아요~ 그래도 신선하고 크기또한 실한 낙지맛을 제대로맛볼수있으니 입맛없을때 즐기곤해요 ^^
68|매일낙지|siksin||3.5|첫 직장 입사후 회식장소로 가고나서 홀딱반했어요 *^^* 낙지전문점인데 한식집못지않게 음식들이 정갈하고 맛있었어요!! 간장에빠진낙지요리가있었는데;; 보기와다르게 전~혀안짜고 달달하니 굿굿!
69|매일낙지|siksin||3.0|매일낙지에서즐기는 별미 간장꼬치낙지 ^^~ 간장이 자작하게 나오는데 은근 입맛당기는맛이라 밥에도 비벼먹게되요 ㅎㅎ
70|매일낙지|siksin||3.0|룰루랄라~~내가좋아하는 낙지낙지 &gt;_&lt; 매일낙지의 간장꼬치는 20개도 더먹을수있을정도로 완전맛있움!!!! 가격비싸다는데 엄빠랑같이먹으니 전혀신경안쓴다늨ㅋㅋㅋㅋㅋ
71|매일낙지|siksin||3.5|홍어맛이좋아서 홍어철이오면 콧구멍이아려올정도로 수도없이먹으러가죠 ㅋ 낙지나 홍어나 제철에맞게 드시면 평소보다 더 맛있게 드실수있습니다
72|매일낙지|siksin||5.0|여기 낙지가 아주 맛있어요 굿굿굿
73|매일낙지|siksin||3.5|간장낙지, 고추장낙지, 낙지탕탕이, 연포탕 등이 인기가 많고 대체적으로 깔끔하다
74|매일낙지|siksin||4.0|간장낙지는 소면 밥 등과 함께 먹을 수 있어요.낙지 훌륭하고말고요
75|매일낙지|siksin||3.0|낙지 먹으로 또 가고싶네요 . 가격이 부담스럽지 않은 곳입니다. 
76|매일낙지|siksin||4.0|무안에서 공수해 오는 낙지요리 전문점 간장낙지 정말 먹고 싶을만했음 예술입니다. 
77|매일낙지|siksin||4.0|차관아파트 사거리 인근에서 30년 넘게 자리를 지켜 온 낙지 요리 전문점 훌륭한거 같네요
78|매일낙지|siksin||5.0|삼성동 무안에서 매일 올라온다는 매일.낙지!! 음식이 깔끔하고 맛있어요
79|매일낙지|siksin||4.0|낙지볶음에 콩나물이 엄청 많이 들어있어서 들맵고 아삭아삭한게 식감도 너무 좋더라구요 그리고 열무국수 있는데 매울때 먹으면 맛있어요 국물도 시원하고!
80|매일낙지|siksin||3.0|만족했습니다.
81|매일낙지|siksin||4.0|완즌 짱이야
82|두꺼비정육점식당|siksin||5.0|아주 괜찮았어요. 추천합니다.
83|두꺼비정육점식당|siksin||5.0|육즙이나 신선도가 살아있고. 친절하시고식자재도 국산 반찬도 추가로 더 먹엇다. 완전 짱짱!^^
84|두꺼비정육점식당|siksin||3.0|좋았던 것 같다
85|두꺼비정육점식당|siksin||3.0|차돌박이  진짜 입맛에 맞는 편이에요
86|두꺼비정육점식당|siksin||3.0|차돌박이 정말 먹고싶어요
87|두꺼비정육점식당|siksin||3.0|갈만했었음
88|두꺼비정육점식당|siksin||3.0|육회 정말 훌륭한거 같아요
89|두꺼비정육점식당|siksin||3.0|정말 또 갈려고요
