name|siksin|mango|kakao
1260이베리코흑돼지 강남직영점|||3.4
24시와구아구|||3.3
5k치킨 선릉본점|2.9||
60년전통 신촌황소곱창 선릉직영점||3.7|3.0
7%칠백식당 포스코직영점|2.9||5.0
705사케집 선릉점|||3.0
88노가리 선릉본점|||2.0
ALOY THAI|2.5||
Band of Brewers|2.7||
JVL부대찌개 포스코점|||4.3
Vin Ta|2.8||
가나돈까스의집|3.4||2.4
가연|||3.4
갈맛집|||4.0
갈비삼대참숯구이전문 강남역삼점|||5.0
강남면옥 대치점|||2.6
강남묵호등대|||4.8
강남본가가마골|||3.7
강남샤오츠|||5.0
강남수랏간|||3.2
강정희간장새우|||4.5
개그맨정용국의용곱창|||4.6
겐비이자카야|||3.0
겐지야|3.3||
경주천년한우 |3.3||
경천애인2237|4.0|4.3|4.1
경평면옥|||3.5
고갯마루|||3.5
고기고샵 삼성역점|||3.0
고메고매 선릉직영점|3.3||3.9
고메램 삼성점|||3.4
고메홈|3.5||1.0
고반식당 삼성점|||3.0
고반식당 선릉점|||4.1
고운님|3.9||
고운님한우곱창|||3.0
곰바위|||3.3
곰작골나주곰탕 선릉점|||2.8
광수사|||3.8
광주식당|||2.8
교대이층집 삼성점|||3.4
교대이층집 선릉점|||3.8
교동전선생 선릉역점|||3.7
구룡포|2.8||
구을가|||4.5
구이마마 대치점|||4.4
국고집|||3.0
군자대한곱창 선릉점|||2.8
그란구스또|||3.9
그릴1492 삼성1호점|||3.9
금계찜닭 법인직영선릉점|4.2||
금복당|||4.7
금수복국 대치점|||3.3
기네스하우스|||0.0
기세끼 선릉점|||2.4
김돈이 본점|3.5|4.1|4.0
김봉남포장마차 선릉점|||3.0
김양|||3.4
김영태스시앤사시미마을 강남본점|||3.4
김태완스시|||2.9
김태주선산곱창 강남점|||4.4
깡장시골보리밥|2.9||
깽스떡볶이||3.9|
껠끄쇼즈|||4.3
꽃새우영번지 역삼점|||3.0
나따오비까 대치점|||3.9
나무|||2.0
나비식탁|3.5||
나주육곱식당 강남직영점|||4.0
나향반점|||4.4
난만|||3.3
남도구들한정식 본점|||3.3
남도사계고운님|||3.8
남산노포식당 선릉본점|||4.0
남원추어탕|2.7||4.3
낭만옵빠 선릉점|||3.7
내여자를부탁해|2.8||
너와집 삼성점|2.9||
네모오징어 선릉점|||0.0
노가리슈퍼 선릉점|||4.8
노란주전자|2.6||
놀란치킨 선릉점|||4.0
농민백암순대 본점|4.3|4.4|4.3
누구나홀딱반한닭 선릉점|||3.0
능라도 강남점|||3.7
니뽕내뽕 선릉점|||3.8
다노이 선릉점|||3.3
다인참치|2.6||
달빛보쌈 논현점|2.6||3.6
달콤한고양이 대치점|||4.9
담뿍화로된장찌개 대치점|||4.0
대도식당 삼성점|3.9|3.8|3.3
대독장 역삼점|||3.3
대우부대찌개|||3.8
대찬횟집|||2.7
대초원양꼬치|2.7||
대치동 우노|4.2||
대치동집|||4.5
대치정육식당 본점|||3.8
대파양곱창|||4.0
대파집|||2.9
더차이나|||3.3
더차이홍 삼성점|||4.7
더피자스탠드|||4.4
던킨도너츠 선릉역점|||2.3
데쎄르룸|||5.0
델리유|3.1||
도마다리뼈다귀감자탕|||5.0
도원|||3.9
도쿄등심 선릉점|4.6|3.6|3.2
도쿄술집 선릉역점|||1.0
돈그리아|3.2|4.1|3.6
동대문엽기떡볶이 대치점|||1.8
동래정 선릉직영점|||5.0
동보성 강남점|||3.4
동해수산|||2.3
동해식당|||5.0
돝고기506|||3.1
돼지연구소 선정릉직영점|||4.0
두꺼비정육점식당|3.8||
두레국수|3.6||3.3
등촌샤브칼국수 선릉점|||3.4
딸부자네불백 역삼점|4.0||3.8
뚜레쥬르 카페선릉역점|||3.2
뚝심한우 선릉역점|||3.3
라무진 선릉역점|||4.0
라피자노스트라|3.8||3.1
란수사|||4.3
레드비틀|||3.5
레이어프로젝트|||3.8
레트로오븐|4.1||
로네펠트|||4.6
로브니||3.6|4.1
로얄마카롱|||4.3
롤리폴리꼬또|||3.5
롯데리아 선릉점|||3.0
르브런쉭 대치점|||3.8
르플로우|||5.0
리밍|||3.0
마구로젠|||3.7
마녀김밥 대치점|||3.2
마노디셰프 삼성점|||3.9
마담밍 선릉점|4.1|4.1|4.2
마라공방 역삼점|||4.2
마라차이즈|||3.9
마라테이블|||4.4
마부육전 선릉직영점|||3.0
마초갈비 선릉역점|||4.3
마초야|||3.4
맑은바닷가|3.4||4.0
맘스터치 강남선릉점|||3.1
맛있는제주|||4.5
매일낙지|4.1||
맥도날드 강남삼성DT점|||3.2
맥도날드 선릉점|||2.4
맥쓰 선릉점|2.7||
맥주를듣는사람들 아크 선릉점|||4.4
맷카페|||3.9
